"Year
of
Death","Geographic
Region",State of Death,Sex,"Veteran
Suicides"
2002,Western,Idaho,Male,40-50
2002,Western,Idaho,Female,<10
2002,Western,Idaho,All,44
2002,Western,Montana,Male,30-40
2002,Western,Montana,Female,<10
2002,Western,Montana,All,36
2002,Western,Nevada,Male,100-110
2002,Western,Nevada,Female,<10
2002,Western,Nevada,All,107
2002,Western,New Mexico,Male,70-80
2002,Western,New Mexico,Female,<10
2002,Western,New Mexico,All,78
2002,Western,Oregon,Male,120-130
2002,Western,Oregon,Female,<10
2002,Western,Oregon,All,132
2002,Western,Utah,Male,50-60
2002,Western,Utah,Female,<10
2002,Western,Utah,All,51
2002,Western,Washington,Male,150-160
2002,Western,Washington,Female,<10
2002,Western,Washington,All,164
2002,Western,Wyoming,Male,20-30
2002,Western,Wyoming,Female,<10
2002,Western,Wyoming,All,23
2002,All,U.S. Total,Male,6004
2002,All,U.S. Total,Female,134
2002,All,U.S. Total,All,6138
2003,Northeastern,Connecticut,Male,40-50
2003,Northeastern,Connecticut,Female,<10
2003,Northeastern,Connecticut,All,49
2003,Northeastern,Maine,Male,30-40
2003,Northeastern,Maine,Female,<10
2003,Northeastern,Maine,All,33
2003,Northeastern,Massachusetts,Male,60-70
2003,Northeastern,Massachusetts,Female,<10
2003,Northeastern,Massachusetts,All,73
2003,Northeastern,New Hampshire,Male,30-40
2003,Northeastern,New Hampshire,Female,<10
2003,Northeastern,New Hampshire,All,40
2003,Northeastern,New Jersey,Male,70-80
2003,Northeastern,New Jersey,Female,<10
2003,Northeastern,New Jersey,All,80
2003,Northeastern,New York,Male,180-190
2003,Northeastern,New York,Female,<10
2003,Northeastern,New York,All,187
2003,Northeastern,Pennsylvania,Male,270-280
2003,Northeastern,Pennsylvania,Female,<10
2003,Northeastern,Pennsylvania,All,275
2003,Northeastern,Rhode Island,Male,10-20
2003,Northeastern,Rhode Island,Female,<10
2003,Northeastern,Rhode Island,All,19
2003,Northeastern,Vermont,Male,10-20
2003,Northeastern,Vermont,Female,<10
2003,Northeastern,Vermont,All,13
2003,Midwestern,Illinois,Male,160-170
2003,Midwestern,Illinois,Female,<10
2003,Midwestern,Illinois,All,170
2003,Midwestern,Indiana,Male,130-140
2003,Midwestern,Indiana,Female,<10
2003,Midwestern,Indiana,All,137
2003,Midwestern,Iowa,Male,70-80
2003,Midwestern,Iowa,Female,<10
2003,Midwestern,Iowa,All,76
2003,Midwestern,Kansas,Male,60-70
2003,Midwestern,Kansas,Female,<10
2003,Midwestern,Kansas,All,67
2003,Midwestern,Michigan,Male,170-180
2003,Midwestern,Michigan,Female,<10
2003,Midwestern,Michigan,All,180
2003,Midwestern,Minnesota,Male,80-90
2003,Midwestern,Minnesota,Female,<10
2003,Midwestern,Minnesota,All,93
2003,Midwestern,Missouri,Male,140-150
2003,Midwestern,Missouri,Female,<10
2003,Midwestern,Missouri,All,153
2003,Midwestern,Nebraska,Male,20-30
2003,Midwestern,Nebraska,Female,<10
2003,Midwestern,Nebraska,All,29
2003,Midwestern,North Dakota,Male,10-20
2003,Midwestern,North Dakota,Female,<10
2003,Midwestern,North Dakota,All,17
2003,Midwestern,Ohio,Male,210-220
2003,Midwestern,Ohio,Female,<10
2003,Midwestern,Ohio,All,217
2003,Midwestern,South Dakota,Male,20-30
2003,Midwestern,South Dakota,Female,<10
2003,Midwestern,South Dakota,All,22
2003,Midwestern,Wisconsin,Male,130-140
2003,Midwestern,Wisconsin,Female,<10
2003,Midwestern,Wisconsin,All,136
2003,Southern,Alabama,Male,100-110
2003,Southern,Alabama,Female,<10
2003,Southern,Alabama,All,113
2003,Southern,Arkansas,Male,80-90
2003,Southern,Arkansas,Female,<10
2003,Southern,Arkansas,All,88
2003,Southern,Delaware,Male,10-20
2003,Southern,Delaware,Female,<10
2003,Southern,Delaware,All,20
2003,Southern,District of Columbia,Male,<10
2003,Southern,District of Columbia,Female,<10
2003,Southern,District of Columbia,All,<10
2003,Southern,Florida,Male,480
2003,Southern,Florida,Female,13
2003,Southern,Florida,All,493
2003,Southern,Georgia,Male,180-190
2003,Southern,Georgia,Female,<10
2003,Southern,Georgia,All,189
2003,Southern,Kentucky,Male,90-100
2003,Southern,Kentucky,Female,<10
2003,Southern,Kentucky,All,102
2003,Southern,Louisiana,Male,70-80
2003,Southern,Louisiana,Female,<10
2003,Southern,Louisiana,All,77
2003,Southern,Maryland,Male,80-90
2003,Southern,Maryland,Female,<10
2003,Southern,Maryland,All,89
2003,Southern,Mississippi,Male,70-80
2003,Southern,Mississippi,Female,<10
2003,Southern,Mississippi,All,78
2003,Southern,North Carolina,Male,170-180
2003,Southern,North Carolina,Female,<10
2003,Southern,North Carolina,All,177
2003,Southern,Oklahoma,Male,90-100
2003,Southern,Oklahoma,Female,<10
2003,Southern,Oklahoma,All,94
2003,Southern,South Carolina,Male,100-110
2003,Southern,South Carolina,Female,<10
2003,Southern,South Carolina,All,110
2003,Southern,Tennessee,Male,130-140
2003,Southern,Tennessee,Female,<10
2003,Southern,Tennessee,All,139
2003,Southern,Texas,Male,426
2003,Southern,Texas,Female,15
2003,Southern,Texas,All,441
2003,Southern,Virginia,Male,140-150
2003,Southern,Virginia,Female,<10
2003,Southern,Virginia,All,146
2003,Southern,West Virginia,Male,60-70
2003,Southern,West Virginia,Female,<10
2003,Southern,West Virginia,All,64
2003,Western,Alaska,Male,20-30
2003,Western,Alaska,Female,<10
2003,Western,Alaska,All,27
2003,Western,Arizona,Male,150-160
2003,Western,Arizona,Female,<10
2003,Western,Arizona,All,156
2003,Western,California,Male,503
2003,Western,California,Female,16
2003,Western,California,All,519
2003,Western,Colorado,Male,140-150
2003,Western,Colorado,Female,<10
2003,Western,Colorado,All,151
2003,Western,Hawaii,Male,10-20
2003,Western,Hawaii,Female,<10
2003,Western,Hawaii,All,20
2003,Western,Idaho,Male,40-50
2003,Western,Idaho,Female,<10
2003,Western,Idaho,All,50
2003,Western,Montana,Male,40-50
2003,Western,Montana,Female,<10
2003,Western,Montana,All,45
2003,Western,Nevada,Male,100-110
2003,Western,Nevada,Female,<10
2003,Western,Nevada,All,110
2003,Western,New Mexico,Male,50-60
2003,Western,New Mexico,Female,<10
2003,Western,New Mexico,All,59
2003,Western,Oregon,Male,130-140
2003,Western,Oregon,Female,<10
2003,Western,Oregon,All,142
2003,Western,Utah,Male,50-60
2003,Western,Utah,Female,<10
2003,Western,Utah,All,56
2003,Western,Washington,Male,140-150
2003,Western,Washington,Female,<10
2003,Western,Washington,All,153
2003,Western,Wyoming,Male,20-30
2003,Western,Wyoming,Female,<10
2003,Western,Wyoming,All,27
2003,All,U.S. Total,Male,5853
2003,All,U.S. Total,Female,152
2003,All,U.S. Total,All,6005
2004,Northeastern,Connecticut,Male,40-50
2004,Northeastern,Connecticut,Female,<10
2004,Northeastern,Connecticut,All,43
2004,Northeastern,Maine,Male,20-30
2004,Northeastern,Maine,Female,<10
